"ID";"Timestamp";"Q2_1";"Q2_2";"Q2_3";"Q3_1";"Q4_1";"Q4_2_1";"Q4_2_2";"Q4_2_3";"Q4_2_4";"Q5_1";"Q5_2";"Q5_4";"Q5_5";"Q5_6";"Q5_7_1";"Q5_7_2";"Q5_7_3";"Q5_7_4";"Q5_7_5";"Q5_7_6";"Q5_7_7";"Q5_7_8";"Q5_7_9";"Q5_7_10";"Q6_1_1";"Q6_1_2";"Q6_1_3";"Q6_1_4";"Q6_1_5";"Q6_3";"Q6_4";"Q6_5";"Q7_1";"Q7_2";"Q7_3";"Q7_4";"Q7_5";"Q7_6";"Q7_7";"Q7_9";"Q7_10";"Q8_1";"Q9_1_1";"Q9_1_2";"Q9_1_3";"Q9_1_4";"Q9_1_5";"Q9_1_6"
40;2018-02-06 19:12:13;"male";26;1;"Yes, parallel to the lectures.";"No";NA;NA;NA;NA;"almost all";"No";"I usually watched lecture recordings completely.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;FALSE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";4;3;4;5;5;4;"No";NA;NA;"sehr zufrieden";NA;NA;NA;NA;NA;NA
41;2018-02-07 12:49:11;"female";25;1;"Yes, parallel to the lectures.";"Yes";TRUE;FALSE;FALSE;FALSE;"a few";"No";"I usually only watch parts of a lecture recording.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;FALSE;TRUE;FALSE;FALSE;"always alone";"at home";"Computer";4;4;4;4;5;4;"No";NA;NA;"sehr zufrieden";NA;NA;NA;NA;NA;NA
42;2018-02-07 18:52:02;"male";25;1;"Yes, I solely used the lecture recordings.";"Yes";TRUE;FALSE;FALSE;FALSE;"a few";"Yes";"I usually only watch parts of a lecture recording.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;FALSE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";5;5;5;4;4;4;"No";NA;NA;"eher zufrieden";NA;NA;NA;NA;NA;NA
43;2018-02-08 13:25:39;"female";23;3;"Yes, parallel to the lectures.";"Yes";TRUE;FALSE;FALSE;FALSE;"a few";"No";"I usually watched lecture recordings completely.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;FALSE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";5;5;3;2;5;3;NA;NA;NA;"sehr zufrieden";NA;NA;NA;NA;NA;NA
44;2018-02-16 15:52:17;"female";24;1;"Yes, parallel to the lectures.";"Yes";TRUE;FALSE;TRUE;FALSE;"a few";"No";"I usually only watch parts of a lecture recording.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";5;5;4;5;5;4;"No";NA;NA;"sehr zufrieden";NA;NA;NA;NA;NA;NA
45;2018-02-16 15:56:20;"male";23;1;"Yes, parallel to the lectures.";"Yes";FALSE;TRUE;FALSE;FALSE;"a few";"No";"I usually only watch parts of a lecture recording.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;FALSE;TRUE;FALSE;FALSE;"mostly alone";"at home";"Computer";4;4;5;5;5;4;"No";NA;NA;"eher zufrieden";NA;NA;NA;NA;NA;NA
46;2018-02-16 16:13:37;"female";24;1;"Yes, parallel to the lectures.";"Yes";FALSE;TRUE;TRUE;FALSE;"about half";"no answer";"I usually only watch parts of a lecture recording.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;FALSE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";5;3;5;4;5;4;"Yes";"Windows 10";"Google Chrome / Chromium";"sehr zufrieden";NA;NA;NA;NA;NA;NA
47;2018-02-16 16:50:57;"female";23;1;"Yes, parallel to the lectures.";"No";NA;NA;NA;NA;"most";"no answer";"I usually watched lecture recordings completely.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;FALSE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";2;2;1;1;1;3;"No";NA;NA;"sehr zufrieden";NA;NA;NA;NA;NA;NA
48;2018-02-16 17:05:59;"female";23;7;"Yes, parallel to the lectures.";"No";NA;NA;NA;NA;"almost all";"Yes";"I usually watched lecture recordings completely.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";5;5;4;4;5;4;"No";NA;NA;"sehr zufrieden";NA;NA;NA;NA;NA;NA
49;2018-02-16 20:12:49;"male";24;1;"Yes, I solely used the lecture recordings.";"No";NA;NA;NA;NA;"most";"No";"I usually only watch parts of a lecture recording.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;TRUE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";5;5;5;5;4;4;"No";NA;NA;"eher zufrieden";NA;NA;NA;NA;NA;NA
50;2018-02-17 12:32:28;"female";23;1;"Yes, parallel to the lectures.";"No";NA;NA;NA;NA;"about half";"Yes";"I usually only watch parts of a lecture recording.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";5;5;4;4;5;5;"No";NA;NA;"eher zufrieden";NA;NA;NA;NA;NA;NA
51;2018-02-17 17:58:12;"female";24;3;"Yes, parallel to the lectures.";"Yes";FALSE;TRUE;FALSE;FALSE;"most";"No";"I usually only watch parts of a lecture recording.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;FALSE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";5;5;5;4;4;4;"Yes";"Windows 8";"Firefox";"eher zufrieden";NA;NA;NA;NA;NA;NA
52;2018-02-20 17:18:32;"male";26;1;"Yes, parallel to the lectures.";"Yes";TRUE;TRUE;TRUE;FALSE;"almost all";"No";"I usually watched lecture recordings completely.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";2;2;5;4;4;5;"No";NA;NA;"sehr zufrieden";NA;NA;NA;NA;NA;NA
